id,release_id,information_system,information_institution,information_storage_vendor,information_filesystem_type,information_client_nodes,information_client_total_procs,io500_score,io500_bw,io500_md,io500_tot_iops,information_data,information_10_node_challenge,information_list_name,information_identifier,information_submitter,information_submission_date,information_embargo_end_date,information_storage_install_date,information_storage_refresh_date,information_filesystem_name,information_filesystem_version,information_client_procs_per_node,information_client_operating_system,information_client_operating_system_version,information_client_kernel_version,information_md_nodes,information_md_storage_devices,information_md_storage_type,information_md_volatile_memory_capacity,information_md_storage_interface,information_md_network,information_md_software_version,information_md_operating_system_version,information_ds_nodes,information_ds_storage_devices,information_ds_storage_type,information_ds_volatile_memory_capacity,information_ds_storage_interface,information_ds_network,information_ds_software_version,information_ds_operating_system_version,information_note,information_best,ior_easy_write,ior_easy_read,ior_hard_write,ior_hard_read,mdtest_easy_write,mdtest_easy_stat,mdtest_easy_delete,mdtest_hard_write,mdtest_hard_read,mdtest_hard_stat,mdtest_hard_delete,find_easy,find_hard,marker_score,marker_md,storage_data,status,include_in_io500,valid_from,valid_to
1,ISC20,Wolf,Intel,Intel,DAOS,52,1664,1792.980000,371.670000,8649.570000,5103.140000,zip,,isc20,2020-07-23,Intel,7/13/20,,,,DAOS,1.1,32,CentOS,7.7,3.10.0-1062.12.1.el7.x86_64,0,0,,,,,,,30,60,"Optane Persistent Memory",512GB,DDR-T,Omnipath,1.1,7.7,,,243.64000,575.59,261.22,520.92,12326.30,11928.80,6897.99,5646.53,8620.14,10723.20,6695.91,8838,,,,-,VALID,1,7/13/20,
2,ISC20,Wolf,Intel,Intel,DAOS,52,1664,1614.020000,368.440000,7070.510000,4448.460000,zip,,isc20,2020-07-58,Intel,7/13/20,,,,DAOS,1.1,32,CentOS,7.7,3.10.0-1062.12.1.el7.x86_64,0,0,,,,,,,30,60,"Optane Persistent Memory",512GB,DDR-T,Omnipath,1.1,7.7,,,244.31000,576.15,267.58,489.25,11977.14,8189.87,5496.88,5470.99,7472.00,7910.95,5396.35,6638,,,,-,VALID,1,7/13/20,
3,ISC20,"WekaIO on AWS",WekaIO,WekaIO,"WekaIO Matrix",345,8625,938.950000,174.740000,5045.330000,2770.210000,zip,,sc19,2019-11-41,"Alexander Howard",11/11/19,,2019-11-08,,WekaIO,3.5,25,"Amazon Linux","AMI release 2017.09",4.9.51-10.52.amzn1.x86_64,120,8,NVMe,"768.0 GiB",NVMe,Ethernet,3.5,"Amazon Linux AMI release 2017.09",120,960,NVMe,"768.0 GiB",NVMe,Ethernet,3.5,"Amazon Linux AMI release 2017.09",,,298.13000,325.62,71.57,134.20,2235.66,36673.30,3385.19,438.86,7709.03,28649.10,476.12,32781,,,,-,VALID,1,11/11/19,
4,ISC20,Wolf,Intel,Intel,DAOS,26,728,933.640000,183.360000,4753.790000,2705.530000,zip,,sc19,2019-11-20,Intel,11/8/19,,,,DAOS,0.6,28,CentOS,7.7,3.10.0-1062.1.2.el7.x86_64,0,0,,,,,,,24,48,"Optane DC Persistent Memory",128GB,DDR-T,Omnipath,0.6,7.7,,,108.24000,308.91,122.91,275.09,6003.60,7237.00,4556.56,2417.72,4067.59,6870.70,4551.32,4284,,,,-,VALID,1,11/8/19,
5,ISC20,Frontera,TACC,Intel,DAOS,60,1440,763.800000,78.310000,7449.560000,2748.860000,zip,,isc20,2020-07-29,Intel,7/13/20,,,,DAOS,1.1,24,CentOS,7.8,3.10.0-1127.13.1.el7.x86_64,0,0,,,,,,,16,24,"Optane Persistent Memory",256GB,DDR-T,Infiniband,1.1,7.8,,,90.84000,75.75,76.33,71.62,11306.00,11124.80,6542.63,5015.78,7406.07,9156.06,5949.25,5696,,,,-,VALID,1,7/13/20,
6,ISC20,Wolf,Intel,Intel,DAOS,10,420,758.710000,164.770000,3493.560000,2126.150000,zip,,isc20,2020-07-37,Intel,7/13/20,,,,DAOS,1.1,42,CentOS,7.7,3.10.0-1062.12.1.el7.x86_64,0,0,,,,,,,30,60,"Optane Persistent Memory",512GB,DDR-T,Omnipath,1.1,7.7,,,178.29000,212.83,120.62,161.04,4828.03,4600.36,2795.34,2317.04,3231.39,4109.81,2768.94,4195,,,,-,VALID,1,7/13/20,
7,ISC20,Frontera,TACC,Intel,DAOS,60,1440,756.010000,75.400000,7580.230000,2745.990000,zip,,isc20,2020-07-63,Intel,7/13/20,,,,DAOS,1.1,24,CentOS,7.8,3.10.0-1127.13.1.el7.x86_64,0,0,,,,,,,16,24,"Optane Persistent Memory",256GB,DDR-T,Infiniband,1.1,7.8,,,79.97000,74.67,76.50,70.76,11268.77,11157.56,6438.14,5030.24,7372.83,9015.77,5908.40,6816,,,,-,VALID,1,7/13/20,
8,ISC20,Wolf,Intel,Intel,DAOS,10,420,736.330000,163.190000,3322.400000,2049.530000,zip,,isc20,2020-07-69,Intel,7/13/20,,,,DAOS,1.1,42,CentOS,7.7,3.10.0-1062.12.1.el7.x86_64,0,0,,,,,,,30,60,"Optane Persistent Memory",512GB,DDR-T,Omnipath,1.1,7.7,,,176.34000,204.32,119.80,164.31,4707.23,4392.86,2745.02,2326.17,3164.63,3962.69,2801.64,3200,,,,-,VALID,1,7/13/20,
10,ISC20,Presque,"Argonne National Laboratory","Argonne National Laboratory",DAOS,16,544,537.310000,108.190000,2668.570000,1544.190000,zip,,isc20,2020-07-10,"Argonne National Laboratory",7/13/20,,2019-11-15,2019-11-15,DAOS,1.1,34,RHEL,7.7,3.10.0-1062.4.3.el7.x86_64,10,12,"Intel Apache Pass 128GB DIMM",384,DIMM,100gE,1.1,7.7,10,12,NVMe-SSD,384,NVMe,100gE,1.1,7.7,,,114.58000,130.23,112.27,81.77,4386.20,4521.23,2559.27,924.09,2100.11,3730.50,2357.16,2969,,,,-,VALID,1,7/13/20,
11,ISC20,Wolf,Intel,Intel,DAOS,10,310,516.410000,123.890000,2152.460000,1399.890000,zip,,sc19,2019-11-15,Intel,11/8/19,,,,DAOS,0.6,31,CentOS,7.7,3.10.0-1062.1.2.el7.x86_64,0,0,,,,,,,24,48,"Optane DC Persistent Memory",128GB,DDR-T,Omnipath,0.6,7.7,,,108.31000,185.12,93.18,126.12,2615.89,2856.70,1880.53,1273.79,1897.29,2829.32,1869.05,2566,,,,-,VALID,1,11/8/19,
12,ISC20,Frontera,TACC,Intel,DAOS,10,420,508.880000,79.160000,3271.490000,1593.860000,zip,,isc20,2020-07-18,Intel,7/13/20,,,,DAOS,1.1,42,CentOS,7.8,3.10.0-1127.13.1.el7.x86_64,0,0,,,,,,,15,24,"Optane Persistent Memory",256GB,DDR-T,Infiniband,1.1,7.8,,,97.47000,72.61,83.42,66.51,5151.86,4672.87,2788.83,2343.71,3215.92,4081.08,2716.13,2339,,,,-,VALID,1,7/13/20,
13,ISC20,Frontera,TACC,Intel,DAOS,10,420,507.130000,78.470000,3277.360000,1591.140000,zip,,isc20,2020-07-56,Intel,7/13/20,,,,DAOS,1.1,42,CentOS,7.8,3.10.0-1127.13.1.el7.x86_64,0,0,,,,,,,15,24,"Optane Persistent Memory",256GB,DDR-T,Infiniband,1.1,7.8,,,96.78000,70.65,82.73,67.03,4835.24,4653.56,2787.23,2323.15,3206.32,3971.63,2710.68,2647,,,,-,VALID,1,7/13/20,
14,ISC20,Presque,"Argonne National Laboratory","Argonne National Laboratory",DAOS,16,544,483.520000,102.540000,2280.050000,1365.780000,zip,,isc20,2020-07-49,"Argonne National Laboratory",7/13/20,,2019-11-15,2019-11-15,DAOS,1.1,34,RHEL,7.7,3.10.0-1062.4.3.el7.x86_64,10,12,"Intel Apache Pass 128GB DIMM",384,DIMM,100gE,1.1,7.7,10,12,NVMe-SSD,384,NVMe,100gE,1.1,7.7,,,101.04000,127.91,106.91,80.00,4240.89,4185.47,2249.35,813.60,1918.11,3430.21,2188.87,1561,,,,-,VALID,1,7/13/20,
15,ISC20,Tianhe-2E,"National Supercomputing Center in Changsha","National University of Defense Technology",Lustre,480,5280,453.680000,209.430000,982.780000,988.790000,zip,,sc19,2019-11-32,"Ruibo Wang",11/10/19,,2019-08-01,2019-08-01,Tianhe-FS,2.12.2,11,"Kylin Linux",4,3.10.0,40,1,SSD,1.6TB,NVMe,OPA,2.12.2,4,52,572,SSD,17.6TB,NVMe,OPA,2.12.2,4,,,608.64000,613.53,31.87,161.64,1099.18,2416.40,961.62,554.07,779.21,2419.15,203.50,1603,,,,-,VALID,1,11/10/19,
16,ISC20,Presque,"Argonne National Laboratory","Argonne National Laboratory",DAOS,10,380,440.640000,95.800000,2026.800000,1234.370000,zip,,isc20,2020-07-34,"Argonne National Laboratory",7/13/20,,2019-11-15,2019-11-15,DAOS,1.1,38,RHEL,7.7,3.10.0-1062.4.3.el7.x86_64,8,12,"Intel Apache Pass 128GB DIMM",384,DIMM,100gE,1.1,7.7,8,12,NVMe-SSD,384,NVMe,100gE,1.1,7.7,,,133.28000,131.95,80.92,59.19,3315.18,3403.63,1916.96,725.92,1575.54,2900.14,1822.73,2178,,,,-,VALID,1,7/13/20,
17,ISC20,Presque,"Argonne National Laboratory","Argonne National Laboratory",DAOS,10,380,398.250000,89.360000,1774.790000,1103.920000,zip,,isc20,2020-07-67,"Argonne National Laboratory",7/13/20,,2019-11-15,2019-11-15,DAOS,1.1,38,RHEL,7.7,3.10.0-1062.4.3.el7.x86_64,8,12,"Intel Apache Pass 128GB DIMM",384,DIMM,100gE,1.1,7.7,8,12,NVMe-SSD,384,NVMe,100gE,1.1,7.7,,,134.05000,124.52,66.59,57.37,3088.11,3087.05,1786.92,756.78,1476.13,2635.54,1386.67,1415,,,,-,VALID,1,7/13/20,
19,ISC20,NURION,KISTI,DDN,IME,2048,2048,282.450000,515.590000,154.740000,389.300000,zip,,isc20,2020-07-35,"JunWeon Yoon",7/13/20,,2018,,"Nurion Burst Buffer",1.4,1,CentOS,7.7,3.10.0-1062.el7.x86_64,48,768,NVMe,1.2TB,NVMe,Omnipath,,CentOS,,,,,,,,,,,787.72000,690.78,740.42,175.40,22.62,1667.46,28.24,15.67,1320.59,1659.24,18.38,489,,,,-,VALID,1,7/13/20,
21,ISC20,"BeeGFS on Oracle Cloud","Oracle Cloud Infrastructure","Oracle Cloud Infrastructure",BeeGFS,270,3240,267.250000,293.050000,243.730000,436.550000,zip,,isc20,2020-07-40,"PINKESH VALDRIA",7/13/20,,2020-06-19,2020-06-19,HPC-FS-Cluster,7.1.5,12,"Oracle Linux UEK",7.7,4.14.35-1902.6.6.el7uek.x86_64,270,1,NVMe,"384 GB",NVMe,Ethernet,7.1.5,OracleLinuxUEK77,270,1,NVMe,"384 GB",NVMe,Ethernet,7.1.5,OracleLinuxUEK77,,,465.69000,665.58,67.57,352.15,2888.24,13150.10,4880.11,1.82,17.63,30.92,7.95,8524,,,,-,VALID,1,7/13/20,
22,ISC20,"DGX-2H SuperPOD",NVIDIA,DDN,Lustre,10,400,249.500000,86.970000,715.760000,597.160000,zip,,sc19,2019-11-1,NVIDIA,11/12/19,111919,11/05,110519,Exascaler,5,40,"NVIDIA DGX-OS",4.02,4.15.0-50-generic,10,2,NVMe,1.92TB,"Mellanox EDR InfiniBand","Mellanox EDR InfiniBand",Exascaler,Exa5.0,10,21,NVMe,1.92TB,"Mellanox EDR InfiniBand","Mellanox EDR InfiniBand",Exascaler,Exa5.0,,,273.16000,286.17,11.16,65.59,799.58,2000.81,485.87,446.27,472.52,881.03,584.58,816,,,,-,VALID,1,11/12/19,
23,ISC20,"Data Accelerator","University of Cambridge","Dell EMC",Lustre,128,2048,229.450000,131.250000,401.130000,465.590000,zip,,sc19,2019-11-49,"University of Cambridge",11/10/19,,2018-05-01,,/dac,"2.13 (tip of master branch as of running)",16,CentOS,7.7,3.10.0-957.10.1.el7.x86_64,24,1,NVMe,192GiB,NVMe,"OPA (2x OPA HFIs per server)","2.13 (tip of master branch as of running)","CentoS 7.7",24,288,NVMe,192GiB,NVMe,"OPA (2x OPA HFIs per server)","2.13 (tip of master branch as of running)","CentoS 7.7",,,341.24000,383.01,14.14,160.55,1679.63,402.08,715.50,274.07,466.83,35.93,106.30,2839,,,,-,VALID,1,11/10/19,
24,ISC20,Tera-1000,CEA,DDN,Lustre,128,4096,210.260000,81.010000,545.740000,486.730000,zip,,sc19,2019-11-37,CEA,11/7/19,2019-11-10,2019-09-16,2019-11-05,Scratch,2.12.3,32,CentOS,7.6,3.10.0-957.21.3,128,1,SSD,75GB,EDR,IB-EDR,"Lustre 2.12.3","CentOS 7.6",128,128,SSD,75GB,EDR,IB-EDR,"Lustre 2.12.3","CentOS 7.6",,,836.65000,789.34,4.49,14.51,1317.85,384.57,676.12,465.51,348.60,730.73,243.33,796,,,,-,VALID,1,11/7/19,
25,ISC20,"BeeGFS on Oracle Cloud","Oracle Cloud Infrastructure","Oracle Cloud Infrastructure",BeeGFS,170,2040,191.100000,175.240000,208.390000,331.320000,zip,,isc20,2020-07-30,"PINKESH VALDRIA",7/13/20,,2020-06-07,2020-06-07,HPC-BeeGFS,7.1.5,12,"Oracle Linux UEK",7.7,4.14.35-1902.6.6.el7uek.x86_64,150,1,NVMe,384GB,NVMe,Ethernet,7.1.5,OracleLinuxUEK77,170,1,NVMe,"384 GB",NVMe,Ethernet,7.1.5,OracleLinuxUEK77,,,333.85000,422.20,35.72,187.34,1913.30,8261.12,3602.59,2.42,18.24,25.90,8.34,6537,,,,-,VALID,1,7/13/20,
26,ISC20,Oakforest-PACS,JCAHPC,DDN,,512,4096,175.850000,348.950000,88.620000,235.720000,zip,,isc20,2020-07-15,"Osamu Tatebe",7/13/20,,2016-12-01,,IME,1.3.2.1,8,CentOS,,,1,12,NVMe,,NVMe,Omnipath,,,25,1200,NVMe-SSD,,NVMe,Omnipath,,,,,371.70000,578.73,292.75,235.43,12.20,1004.53,104.68,2.25,693.18,663.30,23.90,120,,,,-,VALID,1,7/13/20,
27,ISC20,Oakforest-PACS,JCAHPC,DDN,,2048,16384,168.090000,581.430000,48.600000,187.220000,zip,,isc20,2020-07-9,"Osamu Tatebe",7/13/20,,2016-12-01,,,1.2.2,8,CentOS,,,1,12,SSD,,,OmniPath,,,25,1200,SSD,,NVMe,OmniPath,,,,,917.79000,1000.35,402.19,309.50,51.39,180.01,38.92,13.09,126.68,40.47,4.74,272,,,,-,VALID,1,7/13/20,
30,ISC20,WekaIO,WekaIO,WekaIO,"WekaIO Matrix",10,2610,156.510000,56.220000,435.760000,370.880000,zip,,sc19,2019-11-12,"Alexander Howard",11/12/19,,2019-11-11,,WekaIO,3.5,261,CentOS,7.6.1810,3.10.0-957.el7.x86_64,26,6,NVMe,"352.0 GB",NVMe,"Infiniband HDR",3.5,"CentOS 7.6.1810",26,156,NVMe,"352.0 GB",NVMe,"Infiniband HDR",3.5,"CentOS 7.6.1810",,,81.06000,85.54,25.64,56.16,789.96,4155.24,921.60,112.61,489.30,32.50,35.05,6846,,,,-,VALID,,11/12/19,
31,ISC20,NextGENIO,EPCC,"NextGenIO (BSC & JGU)",GekkoFS,10,280,152.300000,24.830000,934.120000,469.590000,zip,,isc20,2020-07-8,"Ramon Nou",7/13/20,,2019-01-01,2020-06-29,GekkoFS,0.8dev,28,CentOS,,3.10.0-862.14.4.el7.x86_64,28,2,3DXPNVMeSSDv,2,NVMe,Omnipath,0.8dev,,28,2,3DXPNVMeSSD,2,NVMe,Omnipath,0.8dev,,,,64.15000,71.44,3.45,24.06,1880.28,1841.93,981.05,187.32,547.29,1773.11,299.22,3137,,,,-,VALID,1,7/13/20,
32,ISC20,NextGENIO,EPCC,"NextGenIO (BSC & JGU)",GekkoFS,10,280,149.920000,24.910000,902.120000,459.310000,zip,,isc20,2020-07-48,"Ramon Nou",7/13/20,,2019-01-01,2020-06-29,GekkoFS,0.8dev,28,CentOS,,3.10.0-862.14.4.el7.x86_64,28,2,3DXPNVMeSSDv,2,NVMe,Omnipath,0.8dev,,28,2,3DXPNVMeSSD,2,NVMe,Omnipath,0.8dev,,,,63.30000,71.97,3.31,25.55,1897.67,1940.82,999.77,143.74,544.19,1730.11,279.78,3146,,,,-,VALID,1,7/13/20,
33,ISC20,Venus2,"National Supercomputer Center in Guangzhou","National Supercomputer Center in Guangzhou",kapok,10,260,148.080000,30.620000,716.110000,421.800000,zip,,isc20,2020-07-5,"NSCC-GZ FS team",7/13/20,,2020-04-28,2020-06-20,kapok,1.0,26,CentOS,7.3,3.10.0-514.el7.x86_64,20,1,SSD,64G,SATA,Ethernet,1.0,7.3,38,38,NVMe,64G,NVMe,Ethernet,1.0,7.3,,,38.70000,64.10,9.92,35.73,277.09,1355.07,647.30,209.10,438.04,1245.93,532.29,4684,,,,-,VALID,,7/13/20,
34,ISC20,Venus2,"National Supercomputer Center in Guangzhou","National Supercomputer Center in Guangzhou",kapok,10,260,146.420000,28.990000,739.490000,423.160000,zip,,isc20,2020-07-45,"NSCC-GZ FS team",7/13/20,,2020-04-28,2020-06-20,kapok,1.0,26,CentOS,7.3,3.10.0-514.el7.x86_64,20,1,SSD,64G,SATA,Ethernet,1.0,7.3,38,38,NVMe,64G,NVMe,Ethernet,1.0,7.3,,,35.93000,64.42,9.15,33.38,316.99,1344.21,643.98,224.26,351.72,1237.39,552.90,6039,,,,-,VALID,,7/13/20,
35,ISC20,Oakforest-PACS,JCAHPC,DDN,,512,4096,146.330000,341.290000,62.740000,185.860000,zip,,isc20,2020-07-53,"Osamu Tatebe",7/13/20,,2016-12-01,,IME,1.3.2.1,8,CentOS,,,1,12,NVMe,,NVMe,Omnipath,,,25,1200,NVMe-SSD,,NVMe,Omnipath,,,,,333.95000,574.15,281.95,250.98,12.18,197.20,84.11,11.88,123.41,128.04,23.11,274,,,,-,VALID,1,7/13/20,
37,ISC20,AI400X,DDN,DDN,Lustre,40,1280,137.030000,46.840000,400.840000,330.100000,zip,,isc20,2020-07-33,"Shuichi Ihara",7/13/20,,2020-06-30,2020-06-30,Exascaler,2.13.54,32,CentOS,8.1,4.18.0-147.8.1.el8_1.x86_64,0,0,0,0,0,0,0,0,4,10,NVMe,3.84TB,NVMe,IB-EDR,2.13.54,CentOS7.7,,,73.57000,88.89,10.19,72.23,378.84,1069.15,237.28,131.45,350.85,1108.62,99.59,1362,,,,-,VALID,1,7/13/20,
38,ISC20,AI400X,DDN,DDN,Lustre,40,1280,127.290000,40.720000,397.910000,313.500000,zip,,isc20,2020-07-66,"Shuichi Ihara",7/13/20,,2020-06-30,2020-06-30,Exascaler,2.13.54,32,CentOS,8.1,4.18.0-147.8.1.el8_1.x86_64,0,0,0,0,0,0,0,0,4,10,NVMe,3.84TB,NVMe,IB-EDR,2.13.54,CentOS7.7,,,73.00000,91.25,5.15,80.15,355.80,1114.09,242.87,130.61,356.29,1100.21,91.94,1387,,,,-,VALID,1,7/13/20,
39,ISC20,NextGENIO,EPCC,"NextGenIO (BSC & JGU)",GekkoFS,10,240,125.080000,21.470000,728.680000,379.100000,zip,,sc19,2019-11-2,"BSC Storage Team",10/6/19,,2019-01-01,2019-01-01,GekkoFS,0.6dev,24,CentOS,el7,3.10.0-862.14.4.el7.x86_64,33,2,"Intel DCPMM",2TB,,Omnipath,,,33,2,"Intel DCPMM",2,,Omnipath,,,,,67.81000,38.39,3.49,23.39,1733.37,1718.61,891.28,194.59,496.41,1625.07,313.65,608,,,,-,VALID,1,10/6/19,
40,ISC20,DIME,DDN,DDN,IME,10,110,116.950000,100.370000,136.270000,207.290000,zip,,isc20,2020-07-71,"DDN IME",7/13/20,,2018-01-03,,,1.4,11,CentOS,7.7,3.10,2,13,NVMe,26TB,EDR,IB-EDR,"Lustre 2.13","Centos 7.7",6,108,NVMe,216TB,EDR,IB-EDR,"IME 1.4","Centos 7.7",,,103.14000,97.75,105.40,95.49,159.50,354.26,110.08,24.48,195.46,55.68,21.60,3322,,,,-,VALID,,7/13/20,
41,ISC20,DIME,DDN,DDN,IME,10,110,116.950000,100.370000,136.270000,207.290000,zip,,isc20,2020-07-39,"DDN IME",7/13/20,,2018-01-03,,,1.4,11,CentOS,7.7,3.10,2,13,NVMe,26TB,EDR,IB-EDR,"Lustre 2.13","Centos 7.7",6,108,NVMe,216TB,EDR,IB-EDR,"IME 1.4","Centos 7.7",,,103.14000,97.75,105.40,95.49,159.50,354.26,110.08,24.48,195.46,55.68,21.60,3322,,,,-,VALID,,7/13/20,
45,ISC20,"BeeGFS on Oracle Cloud","Oracle Cloud Infrastructure","Oracle Cloud Infrastructure",BeeGFS,270,3240,104.300000,47.440000,229.330000,228.460000,zip,,isc20,2020-07-72,"PINKESH VALDRIA",7/13/20,,2020-06-19,2020-06-19,HPC-FS-Cluster,7.1.5,12,"Oracle Linux UEK",7.7,4.14.35-1902.6.6.el7uek.x86_64,270,1,NVMe,"384 GB",NVMe,Ethernet,7.1.5,OracleLinuxUEK77,270,1,NVMe,"384 GB",NVMe,Ethernet,7.1.5,OracleLinuxUEK77,,,483.72000,746.73,1.32,10.64,2908.53,14312.11,3147.97,2.22,17.03,19.55,7.04,11218,,,,-,VALID,1,7/13/20,
47,ISC20,bracewell,CSIRO,Dell/DDN,Lustre,10,400,99.640000,39.900000,248.810000,227.700000,zip,,isc20,2020-07-14,CSIRO,7/13/20,,2018-08-08,,scratch2,2.12.3,40,CentOS,7.7,3.10,8,4,NVMe,192,NVMe,IB-EDR,2.12.3,7.7,8,20,NVMe,192,NVMe,IB-EDR,2.12.3,7.7,,,135.03000,133.62,10.44,13.46,206.33,485.45,186.40,150.71,208.81,378.14,124.15,532,,,,-,VALID,1,7/13/20,
49,ISC20,bracewell,CSIRO,Dell/DDN,Lustre,10,400,97.670000,39.870000,239.260000,221.780000,zip,,isc20,2020-07-52,CSIRO,7/13/20,,2018-08-08,,scratch2,2.12.3,40,CentOS,7.7,3.10,8,4,NVMe,192,NVMe,IB-EDR,2.12.3,7.7,8,20,NVMe,192,NVMe,IB-EDR,2.12.3,7.7,,,136.31000,130.88,10.50,13.49,226.97,460.22,181.27,157.85,205.72,334.92,104.03,501,,,,-,VALID,1,7/13/20,
50,ISC20,"MOGON II","Johannes Gutenberg University Mainz","JGU (ADA-FS)& BSC (NEXTGenIO)",GekkoFS,10,160,96.460000,11.610000,801.600000,329.100000,zip,,isc20,2020-07-19,"Marc-Andr̩ Vef",7/13/20,,2017-10-01,,GekkoFS,0.8dev,16,CentOS,,3.10.0-1127.8.2.el7.x86_64,200,1,"Intel SSD DC S4600 Series",,SATA,Omnipath,0.8dev,,200,1,"Intel SSD DC S4600 Series",,SATA,Omnipath,0.8dev,,,,63.11000,22.49,2.87,4.46,1462.02,1454.74,782.98,249.10,284.09,1493.59,273.36,3543,,,,-,VALID,1,7/13/20,
52,ISC20,"bracewell scratch2",CSIRO,Dell/ThinkParQ,beegfs,26,260,94.860000,69.100000,130.230000,177.590000,zip,,sc19,2019-11-4,"CSIRO IM&T",11/12/19,,,,scratch2,7.1.3,10,SUSE,"SLES 12 SP4",4.12,2,24,NVMe,384GB,NVMe,"IB EDR",7.1.3,"SLES 12 SP4",12,24,NVMe,192GB,NVMe,"IB EDR",7.1.3,"SLES 12 SP4",,,228.98000,180.44,5.43,101.64,143.57,882.77,231.88,10.95,36.15,139.09,17.56,2911,,,,-,VALID,1,11/12/19,
53,ISC20,"MOGON II","Johannes Gutenberg University Mainz","JGU (ADA-FS)& BSC (NEXTGenIO)",GekkoFS,10,160,92.910000,10.960000,787.710000,319.110000,zip,,isc20,2020-07-57,"Marc-Andr̩ Vef",7/13/20,,2017-10-01,,GekkoFS,0.8dev,16,CentOS,,3.10.0-1127.8.2.el7.x86_64,200,1,"Intel SSD DC S4600 Series",,SATA,Omnipath,0.8dev,,200,1,"Intel SSD DC S4600 Series",,SATA,Omnipath,0.8dev,,,,48.84000,22.81,2.88,4.50,1493.89,1433.29,790.06,246.26,286.47,1439.66,270.70,3187,,,,-,VALID,1,7/13/20,
54,ISC20,"BeeGFS on Oracle Cloud","Oracle Cloud Infrastructure","Oracle Cloud Infrastructure",BeeGFS,170,2040,91.480000,42.650000,196.200000,198.720000,zip,,isc20,2020-07-64,"PINKESH VALDRIA",7/13/20,,2020-06-07,2020-06-07,HPC-BeeGFS,7.1.5,12,"Oracle Linux UEK",7.7,4.14.35-1902.6.6.el7uek.x86_64,150,1,NVMe,384GB,NVMe,Ethernet,7.1.5,OracleLinuxUEK77,170,1,NVMe,"384 GB",NVMe,Ethernet,7.1.5,OracleLinuxUEK77,,,350.56000,473.95,1.83,10.88,1910.52,8595.73,2021.91,2.33,17.79,24.39,7.05,9266,,,,-,VALID,1,7/13/20,
55,ISC20,Govorun,JINR,"RSC Group",Lustre,50,800,90.870000,35.610000,231.880000,209.160000,zip,,isc20,2020-07-36,p.lavrenko@rsc-tech.ru,7/13/20,,03/2018,10/2019,"RSC Storage on demand JINR",2.13.0,16,CentOS,7.7.1908,3.10.0-1062.1.1.el7.x86_64,12,2,NVMe,187GB,"NVMe over Fabric",OPA,2.13.0,7.7.1908,12,2,NVMe,187GB,"NVMe over Fabric",OPA,2.13.0,7.7.1908,,,156.46000,78.78,11.67,11.18,492.38,858.77,348.72,113.77,164.74,201.26,67.45,223,,,,-,VALID,1,7/13/20,
56,ISC20,Govorun,JINR,"RSC Group",Lustre,50,800,88.510000,36.280000,215.970000,200.720000,zip,,isc20,2020-07-68,p.lavrenko@rsc-tech.ru,7/13/20,,03/2018,10/2019,"RSC Storage on demand JINR",2.13.0,16,CentOS,7.7.1908,3.10.0-1062.1.1.el7.x86_64,12,2,NVMe,187GB,"NVMe over Fabric",OPA,2.13.0,7.7.1908,12,2,NVMe,187GB,"NVMe over Fabric",OPA,2.13.0,7.7.1908,,,136.60000,80.59,10.93,14.39,471.97,816.14,354.22,72.41,170.79,205.48,66.86,204,,,,-,VALID,1,7/13/20,
58,ISC20,TStor3000,"State Key Laboratory of High-end Server & Storage Technology (HSS)",INSPUR,BeeGFS,10,300,82.570000,41.140000,165.710000,175.430000,zip,,sc19,2019-11-14,,11/7/19,,2019-10-10,2019-11-01,beegfs,7.1.3,30,Linux,CentOS7.6,3.10.0-957.el7.x86_64,24,3,AEP,384GB,AEP,EDR,7.1.3,CentOS7.6,24,192,NVME,384GB,NVME,EDR,7.1.3,CentOS7.6,,,105.10000,97.26,6.43,43.56,478.03,2621.06,762.01,8.47,26.92,121.68,11.87,1810,,,,-,VALID,1,11/7/19,
59,ISC20,iFLYTEK,iFLYTEK,Yanrong,YRCloudFile,10,200,78.540000,13.550000,455.180000,237.640000,zip,,sc19,2019-11-10,Yanrong,11/1/19,,09/2019,10/2019,YRCloudFile,6.0,20,CentOS,7.4,4.12.14,20,1,NVMe,128GB,NVMe,"IB EDR",,7.4,10,2,NVMe,128GB,NVMe,"IB EDR",,7.4,,,33.18000,10.96,6.19,14.99,268.01,1084.31,199.00,179.91,241.76,909.83,258.90,3110,,,,-,VALID,,11/1/19,
64,ISC20,"SpectrumScale on Oracle Cloud","Oracle Cloud Infrastructure","Oracle Cloud Infrastructure","Spectrum Scale",48,768,70.910000,34.910000,144.060000,151.280000,zip,,isc20,2020-07-25,"PINKESH VALDRIA",7/13/20,,2020-06-07,2020-06-07,OCI-SpectrumScale,5.0.5.0,16,CentOS,7.8,3.10.0-1127.10.1.el7.x86_64,40,10,NVMe,"768 GB",iSCSI,Ethernet,5.0.5.0,CentOS78,40,10,NVMe,"768 GB",iSCSI,Ethernet,5.0.5.0,CentOS78,,,83.34000,93.46,4.73,40.29,986.28,796.96,408.90,18.90,28.14,48.68,10.08,2212,,,,-,VALID,1,7/13/20,
